chrom	chromStart	chromEnd	name	trait	genes	orOrBeta	pValue
chr3	3375783	3375784	rs9835812	Immune response to smallpox vaccine (IL-6)	CRBN	NR	8E-7
chr3	3614886	3614887	rs9815663	Asthma (childhood onset)	IL5RA	.17	2E-8
chr3	3650238	3650239	rs9837561	Response to amphetamines	Intergenic	NR	3E-6
chr3	3658839	3658840	rs1601875	Bipolar disorder	NR	1.14	7E-6
chr3	3679851	3679852	rs17034687	Disc degeneration (lumbar)	Intergenic	.23	2E-9
chr3	4437357	4437358	rs794185	Multiple sclerosis--Brain Glutamate Levels	SUMF1	NR	6E-7
chr3	4633491	4633492	rs2322734	Airflow obstruction	ITPR1	1.45	8E-6
chr3	5013875	5013876	rs6442925	Corneal structure	BHLHB2	1.56	2E-6
chr3	5188245	5188246	rs11918654	Disc degeneration (lumbar)	ARL8B	.11	7E-6
chr3	5705051	5705052	rs11710433	Bipolar disorder (mood-incongruent)	Intergenic	1.23	1E-6
chr3	6255996	6255997	rs6774280	Response to tocilizumab in rheumatoid arthritis	Intergenic	5.50	9E-7
chr3	6377694	6377695	rs271066	Alzheimer's disease (age of onset)	NR	NR	3E-6
chr3	6481624	6481625	rs17216035	Visceral adipose tissue adjusted for BMI	GRM7	NR	3E-6
chr3	6903296	6903297	rs3749380	Panic disorder	GRM7	NR	2E-6
chr3	7403645	7403646	rs13080594	Personality dimensions	GRM7	NR	8E-7
chr3	7529554	7529555	rs9870680	Major depressive disorder (broad)	GRM7	1.19	1E-6
chr3	7538201	7538202	rs1450100	Orofacial clefts	GRM7	1.54	8E-6
chr3	7982826	7982827	rs4591494	Factor VII	Intergenic	NR	9E-6
chr3	8250789	8250790	rs9866825	QT interval	NR	1.18	8E-6
chr3	8808514	8808515	rs237899	Depression and alcohol dependence	OXTR	1.69	2E-6
chr3	10535770	10535771	rs6807064	Metabolite levels	ATP2B2	NR	1E-7
chr3	10774758	10774759	rs1682825	Economic and political preferences (feminism/equality)	Intergenic	.12	4E-6
chr3	10877610	10877611	rs1809529	Response to tocilizumab in rheumatoid arthritis	SLC6A11	.28	3E-7
chr3	11040438	11040439	rs9990174	Conduct disorder (interaction)	SLC6A1	2.52	6E-6
chr3	11075013	11075014	rs2675163	Response to Vitamin E supplementation	SLC6A1	.68	6E-6
chr3	11675788	11675789	rs6782029	Anorexia nervosa	VGLL4	NR	9E-6
chr3	11956597	11956598	rs6777876	Alcohol dependence	C3orf31	NR	4E-7
chr3	12116619	12116620	rs308971	Fasting insulin-related traits (interaction with BMI)	SYN2	NR	2E-7
chr3	12267647	12267648	rs7616006	Platelet counts	SYN2	2.00	5E-8
chr3	12277844	12277845	rs17036101	Type 2 diabetes	SYN2, PPARG	1.15	2E-7
chr3	12289799	12289800	rs13081389	Type 2 diabetes	PPARG	1.24	2E-7
chr3	12330410	12330411	rs17036170	Drug-induced liver injury	PPARG	11.30	2E-8
chr3	12385827	12385828	rs11128603	Plasminogen activator inhibitor type 1 levels (PAI-1)	PPARG	.07	9E-8
chr3	12393124	12393125	rs1801282	Fasting insulin-related traits (interaction with BMI)	PPARG	NR	2E-7
chr3	12393124	12393125	rs1801282	Type 2 diabetes	PPARG	1.14	2E-6
chr3	12393124	12393125	rs1801282	Type 2 diabetes	PPARG	1.14	2E-6
chr3	12393124	12393125	rs1801282	Type 2 diabetes	PPARG	1.14	2E-6
chr3	12551806	12551807	rs6766510	Prostate cancer (gene x gene interaction)	TSEN2	1.58	2E-6
chr3	12626515	12626516	rs3729931	Cardiac hypertrophy	RAF1	NR	7E-7
chr3	12628919	12628920	rs2290159	Cholesterol, total	RAF1	1.42	4E-9
chr3	13555835	13555836	rs2597513	Height	HDAC11	.04	7E-10
chr3	13736999	13737000	rs4450798	Bipolar disorder (mood-incongruent)	FBLN2	1.26	2E-6
chr3	13743131	13743132	rs9846232	Personality dimensions	BC039529	NR	1E-8
chr3	13857968	13857969	rs1124480	Chronic obstructive pulmonary disease-related biomarkers	WNT7A	NR	9E-6
chr3	13961156	13961157	rs9875589	Ovarian reserve	TPRXL	NR	4E-6
chr3	14480777	14480778	rs6790433	Response to taxane treatment (docetaxel)	SLC6A6	NR	1E-6
chr3	14530720	14530721	rs9036	Cognitive performance	GRIP2	NR	3E-6
chr3	15295363	15295364	rs1318937	Alcohol and nictotine co-dependence	SH3BP5, NR2C2, ZFYVE20	NR	4E-7
chr3	15295363	15295364	rs1318937	Alcohol dependence	SH3BP5	NR	3E-6
chr3	15440555	15440556	rs6442522	Uric acid levels	NR	.05	5E-6
chr3	15648003	15648004	rs7651039	Coronary heart disease	Intergenic	1.06	2E-6
chr3	16395667	16395668	rs690037	Optic disc size (cup)	RFTN1	.21	2E-7
chr3	16408488	16408489	rs12635698	Obesity (extreme)	RAFTLIN	1.41	5E-6
chr3	16955258	16955259	rs1372072	Primary biliary cirrhosis	PLCL2	1.20	2E-8
chr3	16970937	16970938	rs9821630	Multiple sclerosis	PLCL2	1.08	4E-6
chr3	18311411	18311412	rs7641175	Platelet counts	SATB1	2.76	3E-11
chr3	18706857	18706858	rs13073817	Crohn's disease	intergenic	1.08	7E-9
chr3	18784422	18784423	rs6809854	Psoriasis	Intergenic	1.14	1E-7
chr3	19375790	19375791	rs2053506	Hip geometry	KCNH8	NR	4E-6
chr3	20108545	20108546	rs1124376	Bipolar disorder and schizophrenia	NR	1.28	5E-6
chr3	20220711	20220712	rs6767049	Temperament (bipolar disorder)	SGOL1	.77	2E-6
chr3	20615272	20615273	rs1395103	Bipolar disorder and schizophrenia	NR	1.24	9E-6
chr3	21248641	21248642	rs11720452	Bipolar disorder	NR	1.15	5E-6
chr3	21706368	21706369	rs3821396	Bipolar disorder	NR	1.23	5E-6
chr3	21719245	21719246	rs1490157	Partial epilepsies	ZNF385D	1.20	5E-6
chr3	21955197	21955198	rs11719664	Attention deficit hyperactivity disorder	Intergenic	NR	2E-6
chr3	22122395	22122396	rs2593321	HIV-1 control	AC023798.16	NR	8E-6
chr3	23093573	23093574	rs9310709	Chronic kidney disease and serum creatinine levels	NR	1.15	2E-6
chr3	25112170	25112171	rs993804	Bipolar disorder and schizophrenia	NR	1.28	1E-6
chr3	25520581	25520582	rs1529672	Pulmonary function	RARB	.05	4E-14
chr3	25538316	25538317	rs1997352	Airflow obstruction	RARB	1.19	9E-7
chr3	25560230	25560231	rs1435703	Obesity (extreme)	RARB	1.66	4E-6
chr3	27416012	27416013	rs4973768	Breast cancer	SLC4A7	1.14	2E-8
chr3	27416012	27416013	rs4973768	Breast cancer	SLC4A7	1.16	6E-7
chr3	27537908	27537909	rs13082711	Systolic blood pressure	SLC4A7	.32	2E-6
chr3	27537908	27537909	rs13082711	Diastolic blood pressure	SLC4A7	.24	4E-9
chr3	27537908	27537909	rs13082711	Blood pressure	SLC4A7	.34	5E-9
chr3	27788779	27788780	rs11129295	Multiple sclerosis	EOMES	1.11	1E-9
chr3	28071443	28071444	rs669607	Multiple sclerosis	Intergenic	1.13	2E-15
chr3	28079084	28079085	rs170934	Multiple sclerosis	EOMES	1.17	2E-8
chr3	28705763	28705764	rs7617877	Parkinson's disease	NR	1.23	3E-6
chr3	28928859	28928860	rs2221154	Alzheimer's disease	Intergenic	1.75	3E-6
chr3	29209150	29209151	rs6549915	Breast size	MESTP4, RBMS3	.08	9E-6
chr3	29575462	29575463	rs1530057	Lung cancer	NR	1.26	3E-6
chr3	29853402	29853403	rs10510628	Bone mineral density	RBMS3	NR	3E-6
chr3	30346967	30346968	rs10510634	Fasting plasma glucose	Intergenic	NR	5E-6
chr3	30462402	30462403	rs7640543	Migraine	TGFBR2	1.19	1E-9
chr3	30710242	30710243	rs3773643	Tonometry	TGFBR2	NR	2E-7
chr3	31445579	31445580	rs17027625	HIV-1 control	Intergenic	NR	4E-6
chr3	31795569	31795570	rs1902341	Peripheral artery disease	OSBPL10	1.31	5E-7
chr3	32240118	32240119	rs9825310	Alcohol dependence	GPD1L	1.25	8E-6
chr3	32329496	32329497	rs4380451	Bipolar disorder	NR	1.18	4E-6
chr3	32347823	32347824	rs4627791	Bipolar disorder	NR	NR	2E-6
chr3	32378270	32378271	rs6776297	HIV-1 viral setpoint	CMTM8	NR	5E-6
chr3	32488533	32488534	rs12638540	Mortality among heart failure patients	CMTM7	1.53	3E-7
chr3	32842100	32842101	rs9845475	Attention deficit hyperactivity disorder (time to onset)	Intergenic	NR	4E-6
chr3	32929114	32929115	rs9310995	Pulmonary function	TRIM71	.02	4E-6
chr3	33015468	33015469	rs13314993	Celiac disease	CCR4	1.13	3E-9
chr3	33020034	33020035	rs4678680	Hepatocellular carcinoma	GLB1	2.27	2E-7
chr3	33065338	33065339	rs7613051	Atopic dermatitis	GLB1	1.29	6E-21
chr3	34212165	34212166	rs6781182	Visceral adipose tissue adjusted for BMI	PDCD6IP	NR	3E-6
chr3	34962668	34962669	rs10514688	Tonometry	Intergenic	NR	6E-6
chr3	35142510	35142511	rs11129640	Entorhinal cortical thickness	ARPP-21	.12	6E-8
chr3	35982129	35982130	rs6799705	Cognitive performance	ARPP-21	NR	2E-7
chr3	36680098	36680099	rs950146	Erectile dysfunction	STAC	NR	4E-6
chr3	36856029	36856030	rs9834970	Bipolar disorder (mood-incongruent)	TRANK1, LBA	1.22	1E-7
chr3	36856029	36856030	rs9834970	Bipolar disorder	TRANK1	NR	1E-12
chr3	36862979	36862980	rs4624519	Schizophrenia	NR	1.09	2E-7
chr3	36864488	36864489	rs6550435	Bipolar disorder	LBA1	1.09	9E-6
chr3	37234588	37234589	rs7631605	P-tau181p	Intergenic	NR	1E-6
chr3	37515826	37515827	rs197770	Phospholipid levels (plasma)	ITGA9	.80	2E-8
chr3	37518544	37518545	rs189897	Nasopharyngeal carcinoma	ITGA9	3.18	7E-8
chr3	37574023	37574024	rs267567	PR interval	ITGA9	2.73	4E-11
chr3	37996476	37996477	rs9311171	Prostate cancer	CTDSPL	NR	2E-6
chr3	38442489	38442490	rs2070488	Electrocardiographic conduction measures	SCN5A	5.00	4E-6
chr3	38589162	38589163	rs11129795	Electrocardiographic traits	SCN5A	8.24	5E-10
chr3	38589162	38589163	rs11129795	QT interval	SCN5A	1.27	5E-14
chr3	38593392	38593393	rs12053903	Electrocardiographic traits	SCN5A	6.59	1E-7
chr3	38593392	38593393	rs12053903	QT interval	SCN5A	1.23	1E-14
chr3	38594972	38594973	rs7638909	Electrocardiographic conduction measures	SCN5A	4.80	2E-6
chr3	38624252	38624253	rs3922844	PR interval	SCN5A	4.54	5E-43
chr3	38624252	38624253	rs3922844	PR interval	SCN5A	5.11	3E-23
chr3	38633922	38633923	rs11708996	Ventricular conduction	SCN5A	.47	7E-6
chr3	38633922	38633923	rs11708996	PR interval	SCN5A	3.04	6E-26
chr3	38657898	38657899	rs11710077	Ventricular conduction	SCN5A	.44	1E-6
chr3	38681393	38681394	rs6763048	PR interval	SCN5A	2.62	4E-12
chr3	38719934	38719935	rs9851724	Ventricular conduction	SCN10A,SCN5A	.60	6E-16
chr3	38766674	38766675	rs6795970	Electrocardiographic traits	SCN10A	5.17	4E-9
chr3	38766674	38766675	rs6795970	Electrocardiographic traits	SCN10A	14.81	1E-58
chr3	38766674	38766675	rs6795970	Electrocardiographic traits	SCN10A	3.33	3E-15
chr3	38767314	38767315	rs6801957	PR interval	SCN10A	3.36	9E-9
chr3	38767314	38767315	rs6801957	Ventricular conduction	SCN10A	.54	3E-14
chr3	38774831	38774832	rs6800541	Atrioventricular conduction	SCN10A	2.60	5E-7
chr3	38774831	38774832	rs6800541	PR interval	SCN10A	3.77	2E-74
chr3	39523002	39523003	rs1768208	Progressive supranuclear palsy	MOBP	1.37	5E-17
chr3	39553787	39553788	rs816488	Cognitive performance	MOBP	NR	4E-6
chr3	39555579	39555580	rs864643	Attention deficit hyperactivity disorder	MOBP	NR	1E-8
chr3	39847071	39847072	rs17079534	Acute lymphoblastic leukemia (childhood)	MYRIP	4.07	2E-7
chr3	40008633	40008634	rs9985399	Information processing speed	MYRIP	.26	9E-6
chr3	40096617	40096618	rs6599077	Sleep duration	MYRIP	NR	1E-7
chr3	41123734	41123735	rs10490823	Bone mineral density (hip)	NR	.06	9E-6
chr3	41137671	41137672	rs87938	Bone mineral density (hip)	CTNNB1	.07	8E-10
chr3	41877413	41877414	rs3774372	Blood pressure	ULK4	.30	8E-7
chr3	41912650	41912651	rs9815354	Diastolic blood pressure	ULK4	.49	3E-9
chr3	41925397	41925398	rs1052501	Multiple myeloma	ULK4	1.32	2E-8
chr3	42093421	42093422	rs1498095	Visceral adipose tissue/subcutaneous adipose tissue ratio	TRAK1	NR	8E-6
chr3	42303073	42303074	rs4377469	Body mass index	CCK	.04	2E-7
chr3	42448470	42448471	rs2286720	Reasoning	LYZL4	NR	1E-6
chr3	43230722	43230723	rs17075286	Bipolar disorder and schizophrenia	C3orf39	NR	8E-7
chr3	45731450	45731451	rs2742417	Response to antidepressant treatment	SACM1L	NR	5E-7
chr3	45814093	45814094	rs17279437	Urinary metabolites	SLC6A20	NR	3E-19
chr3	45817417	45817418	rs758386	Immune reponse to smallpox (secreted TNF-alpha)	SLC6A20	NR	2E-7
chr3	46235200	46235201	rs13098911	Celiac disease	CCR1, CCR2, CCRL2, CCR3, CCR5, CCR9	1.30	3E-17
chr3	46282390	46282391	rs12636651	Monocyte chemoattractant protein-1	CCR3	NR	7E-9
chr3	46339811	46339812	rs9990343	Brain structure	Intergenic	NR	4E-7
chr3	46352383	46352384	rs6441961	Celiac disease	CCR1, CCR3	1.21	3E-7
chr3	46428189	46428190	rs6441975	AIDS progression	CCRL2	1.48	5E-6
chr3	46451679	46451680	rs1015164	AIDS progression	LTF	1.46	9E-6
chr3	47927483	47927484	rs319690	Blood pressure	MAP4	.30	3E-8
chr3	48487047	48487048	rs730566	Prion diseases	NR	1.27	7E-6
chr3	48487337	48487338	rs9876781	Longevity	RP11-24C3.2	NR	1E-6
chr3	49210731	49210732	rs7617480	Menarche (age at onset)	KLHDC8B	2.40	3E-8
chr3	49701982	49701983	rs9858542	Ulcerative colitis	MST1	NR	7E-9
chr3	49701982	49701983	rs9858542	Crohn's disease	BSN, MST1	1.09	4E-8
chr3	49701982	49701983	rs9858542	Crohn's disease	MST1	1.17	5E-8
chr3	49719728	49719729	rs9822268	Ulcerative colitis	MST1, UBA7, APEH, AMIGO3, GMPPB, BSN	1.21	2E-17
chr3	49721531	49721532	rs3197999	Primary sclerosing cholangitis	MST1	1.39	1E-16
chr3	49721531	49721532	rs3197999	Crohn's disease	MST1,GPX1,BSN	1.22	6E-17
chr3	49721531	49721532	rs3197999	Ulcerative colitis	MST1	1.20	4E-9
chr3	49721531	49721532	rs3197999	Crohn's disease	MST1	1.20	1E-12
chr3	50093208	50093209	rs6762477	Menarche (age at onset)	RBM6	2.50	2E-8
chr3	50352199	50352200	rs11130248	Keloid	NR	1.34	5E-7
chr3	51071712	51071713	rs13088462	Height	DOCK3	.05	4E-10
chr3	52279593	52279594	rs7618915	Bipolar disorder	Intergenic	NR	3E-10
chr3	52506425	52506426	rs6784615	Waist-hip ratio	NISCH, STAB1	.04	4E-10
chr3	52584786	52584787	rs2251219	Major mood disorders	PBRM1	1.14	2E-9
chr3	52622085	52622086	rs2590838	Adiponectin levels	GNL3	.03	2E-13
chr3	52718279	52718280	rs10865974	Bipolar disorder (mood-incongruent)	PBRM1, GNL3	1.19	2E-6
chr3	52720079	52720080	rs1108842	Adiponectin levels	GNL3	.03	1E-13
chr3	52721304	52721305	rs11177	Osteoarthritis	GNL3, GLT8D1	1.09	5E-9
chr3	52821010	52821011	rs1042779	Bipolar disorder	ITIH1, NEK4	1.19	2E-7
chr3	52835353	52835354	rs736408	Bipolar disorder	WDR82, TWF2, TNNC1, TMEM110, TLR9, STAB1,SPCS1, SNORD69, SNORD19, SNORD19B, SFMBT1, SEMA3G, RFT1, PRKCD, PPM1M, PHF7, PBRM1, NT5DC2, NISCH, NEK4, MUSTN1, LOC440957, ITIH1, ITIH3, ITIH4, GNL3, GLYCTK, GLT8D1, DNAH1, BAP1, ALAS1	1.10	2E-6
chr3	52844533	52844534	rs17331151	Immune reponse to smallpox (secreted IL-2)	ITIH3, ITIH4	NR	2E-9
chr3	52855228	52855229	rs2239547	Schizophrenia	ITIH3, ITIH4	1.10	6E-8
chr3	52913278	52913279	rs3796352	Immune reponse to smallpox (secreted IL-2)	TMEM110	NR	5E-7
chr3	53118738	53118739	rs2336725	Height	RTF1	.03	1E-12
chr3	53147575	53147576	rs13088281	Immune reponse to smallpox (secreted IL-2)	RFT1	NR	3E-11
chr3	53282302	53282303	rs4687718	Ventricular conduction	TKT, PRKCD, CACNA1D	.63	6E-9
chr3	53680123	53680124	rs1401492	Insulin resistance/response	CACNA1D	16.00	5E-6
chr3	53680123	53680124	rs1401492	Insulin resistance/response	CACNA1D	15.00	3E-6
chr3	54632546	54632547	rs13064588	Bipolar disorder and schizophrenia	NR	1.24	4E-6
chr3	55035873	55035874	rs4955826	Immune response to smallpox vaccine (IL-6)	CACNA2D3	NR	5E-6
chr3	55188272	55188273	rs11706236	Insomnia (caffeine-induced)	RP11-889D3.1	1.59	4E-6
chr3	55313399	55313400	rs358806	Type 2 diabetes	NR	1.16	3E-6
chr3	55571759	55571760	rs1795648	Bipolar disorder and schizophrenia	ERC2	NR	6E-6
chr3	56530708	56530709	rs2054989	Hip geometry	ERC2	NR	6E-7
chr3	56667681	56667682	rs9835332	Height	C3orf63	.03	5E-13
chr3	56735179	56735180	rs6773931	Height	Intergenic	.05	8E-8
chr3	56849748	56849749	rs1354034	Platelet counts	ARHGEF3	6.85	3E-54
chr3	56849748	56849749	rs1354034	Mean platelet volume	ARHGEF3	.02	3E-69
chr3	56865775	56865776	rs12485738	Mean platelet volume	ARHGEF3	.02	6E-31
chr3	56865775	56865776	rs12485738	Mean platelet volume	ARHGEF3	.02	4E-27
chr3	56966245	56966246	rs2062583	Rheumatoid arthritis	ARHGEF3	1.59	2E-6
chr3	56966245	56966246	rs2062583	Rheumatoid arthritis	ARHGEF3	1.59	2E-6
chr3	57394765	57394766	rs1916284	Prostate cancer (gene x gene interaction)	DNAH12	1.27	1E-6
chr3	58370176	58370177	rs6445975	Systemic lupus erythematosus	PXK	1.25	7E-9
chr3	58556840	58556841	rs13315591	Rheumatoid arthritis	PXK	1.29	5E-8
chr3	59354157	59354158	rs6771019	Capecitabine sensitivity	Intergenic	NR	2E-6
chr3	59902800	59902801	rs1825630	Aortic root size	FHIT	.09	8E-6
chr3	59921019	59921020	rs4502542	Response to citalopram treatment	FHIT	NR	2E-6
chr3	59928850	59928851	rs931317	Myopia (pathological)	FHIT	NR	3E-6
chr3	59981524	59981525	rs212016	Orofacial clefts	FHIT	1.54	7E-6
chr3	60123521	60123522	rs10510829	Adverse response to lamotrigine and phenytoin	FHIT	NR	7E-7
chr3	60289841	60289842	rs10510837	Asperger disorder	FHIT	NR	4E-6
chr3	60508339	60508340	rs80171647	Response to amphetamines	FHIT	NR	2E-6
chr3	60763255	60763256	rs11919041	Breast size	NPCDR1,PTPRG	.08	2E-6
chr3	60771107	60771108	rs6791644	Attention deficit hyperactivity disorder	FHIT	NR	8E-6
chr3	61413813	61413814	rs10514718	Major depressive disorder	FHIT, PTPRG	2.12	4E-6
chr3	61794053	61794054	rs652889	QT interval	PTPRG	.15	8E-7
chr3	62036723	62036724	rs10490775	Fuchs's corneal dystrophy	PTPRG	2.30	1E-6
chr3	62064768	62064769	rs11130874	Schizophrenia	NR	1.10	2E-6
chr3	62478193	62478194	rs13325751	Economic and political preferences (environmentalism)	CADPS	.13	6E-6
chr3	62733365	62733366	rs580384	Breast size	CADPS	.12	4E-6
chr3	64048296	64048297	rs831571	Type 2 diabetes	PSMD6	1.09	8E-11
chr3	64078008	64078009	rs153734	Folate pathway vitamin levels	PRICKLE2	.29	7E-6
chr3	64705364	64705365	rs6795735	Waist-hip ratio	ADAMTS9	.04	2E-16
chr3	64711903	64711904	rs4607103	Type 2 diabetes	ADAMTS9	1.09	1E-8
chr3	64727085	64727086	rs7433808	Visceral adipose tissue/subcutaneous adipose tissue ratio	ADAMTS9	NR	2E-7
chr3	64727085	64727086	rs7433808	Visceral adipose tissue/subcutaneous adipose tissue ratio	ADAMTS9	NR	2E-7
chr3	64729891	64729892	rs7638389	Visceral adipose tissue adjusted for BMI	ADAMTS9	NR	8E-6
chr3	64927024	64927025	rs704454	Alzheimer's disease (age of onset)	ADAMTS9	NR	3E-6
chr3	66431601	66431602	rs2242285	Ventricular conduction	LRIG1,SLC25A26	.37	1E-8
chr3	66768363	66768364	rs17045031	Carotid intima media thickness	LRIG1	.30	4E-7
chr3	66798949	66798950	rs13069000	Renal function-related traits (BUN)	LRIG1, KBTBD8	.01	1E-19
chr3	66809941	66809942	rs13069049	Metabolite levels	Intergenic	.02	3E-18
chr3	67373976	67373977	rs977102	Response to amphetamines	Intergenic	NR	2E-6
chr3	67416321	67416322	rs17806888	Height	SUCLG2	.04	2E-9
chr3	67531387	67531388	rs6792584	Corneal astigmatism	SUCLG2	1.24	5E-6
chr3	69173374	69173375	rs7638995	Alzheimer's disease (late onset)	Intergenic	NR	2E-6
chr3	69252898	69252899	rs6806528	Celiac disease	FRMD4B	1.19	2E-7
chr3	69442636	69442637	rs922948	Hip geometry	Intergenic	NR	2E-6
chr3	69623187	69623188	rs7647307	Brain imaging	LOC642487	NR	NS
chr3	70463329	70463330	rs1024889	Body mass index	NR	.12	6E-6
chr3	70626359	70626360	rs7628219	Insomnia (caffeine-induced)	RP11-430J3.1	1.61	2E-6
chr3	71020489	71020490	rs17651978	Attention deficit hyperactivity disorder	FOXP1	NR	6E-6
chr3	71115750	71115751	rs7616330	QT interval	NR	1.72	6E-6
chr3	71300566	71300567	rs17008402	Subcutaneous adipose tissue	FOXP1	NR	2E-6
chr3	72023699	72023700	rs2135319	Bilirubin levels	RP11-648C16.1	.19	4E-6
chr3	72437412	72437413	rs9863706	Height	RYBP	.03	4E-13
chr3	73540617	73540618	rs4557101	QT interval	NR	1.72	4E-6
chr3	73619560	73619561	rs11128347	Dialysis-related mortality	PDZRN3	1.85	6E-7
chr3	74627702	74627703	rs13073838	Economic and political preferences	Intergenic	.12	3E-6
chr3	76484182	76484183	rs3849491	Sex hormone-binding globulin levels	Intergenic	.07	6E-6
chr3	78044688	78044689	rs9836484	Brain imaging in schizophrenia (interaction)	ROBO2, ROBO1	NR	4E-6
chr3	78353590	78353591	rs9831754	Calcium levels	Intergenic	.02	8E-6
chr3	78498996	78498997	rs9834373	Protein quantitative trait loci	ROBO1	NR	4E-6
chr3	80865763	80865764	rs9850225	Erectile dysfunction	SLC25A36	NR	5E-8
chr3	84481067	84481068	rs10511089	Brain structure	Intergenic	NR	7E-7
chr3	85502844	85502845	rs13323436	Visceral fat	CADM2	NR	3E-6
chr3	85874475	85874476	rs12494658	Temperament	CADM2	.08	5E-6
chr3	85884149	85884150	rs13078807	Body mass index	CADM2	.10	4E-11
chr3	86158884	86158885	rs2324999	Subcutaneous adipose tissue	CADM2	NR	4E-6
chr3	86158884	86158885	rs2324999	Subcutaneous adipose tissue	CADM2	NR	2E-6
chr3	86255671	86255672	rs7428796	Myopia (pathological)	Intergenic	NR	2E-18
chr3	86894477	86894478	rs9757252	Prostate cancer (gene x gene interaction)	VGLL3	1.25	5E-6
chr3	86916881	86916882	rs7642134	Menarche (age at onset)	VGLL3	2.40	4E-10
chr3	87110673	87110674	rs2660753	Prostate cancer	Intergenic	1.18	3E-8
chr3	87134799	87134800	rs17023900	Prostate cancer	NR	1.41	6E-8
chr3	87152168	87152169	rs9284813	Prostate cancer	Intergenic	NR	5E-9
chr3	87173323	87173324	rs17181170	Prostate cancer	NR	NR	3E-8
chr3	87241496	87241497	rs7629490	Prostate cancer	Intergenic	1.06	1E-7
chr3	87783975	87783976	rs9860340	Electroencephalographic traits in alcoholism	Intergenic	.12	4E-6
chr3	88524174	88524175	rs2880961	Response to acetaminophen (hepatotoxicity)	C3orf38	NR	2E-7
chr3	89534376	89534377	rs7632427	Orofacial clefts	NR	NR	4E-8
chr3	89534376	89534377	rs7632427	Orofacial clefts	EPHA3	1.37	4E-8
chr3	95688842	95688843	rs9814870	Male infertility	ARL6	NR	7E-7
chr3	98034525	98034526	rs1497546	Drug-induced liver injury (flucloxacillin)	OR5H2	6.57	2E-7
chr3	99167106	99167107	rs2670321	RR interval (heart rate)	Intergenic	.16	2E-6
chr3	99266336	99266337	rs13070584	Chronic kidney disease and serum creatinine levels	NR	1.42	2E-6
chr3	99396271	99396272	rs13095226	Age-related macular degeneration	COL8A1	1.24	3E-6
chr3	99592595	99592596	rs813218	Orofacial clefts	NR	NR	1E-6
chr3	99956555	99956556	rs12486865	Visceral adipose tissue/subcutaneous adipose tissue ratio	TBC1D23, C3orf26	NR	7E-6
chr3	101411977	101411978	rs112553552	Response to amphetamines	Intergenic	NR	3E-6
chr3	101748637	101748638	rs771767	Multiple sclerosis	NFKBIZ	1.10	9E-9
chr3	101774042	101774043	rs991258	Hip geometry	Intergenic	NR	5E-7
chr3	102203044	102203045	rs2063640	Type 2 diabetes	ZPLD1	1.23	3E-6
chr3	103245091	103245092	rs1397924	Economic and political preferences (environmentalism)	Intergenic	.09	1E-6
chr3	103292225	103292226	rs4856162	Economic and political preferences (environmentalism)	Intergenic	.09	1E-6
chr3	103307641	103307642	rs7612581	Economic and political preferences (environmentalism)	Intergenic	.09	2E-6
chr3	103331482	103331483	rs9820695	Economic and political preferences (environmentalism)	Intergenic	.09	9E-7
chr3	103345438	103345439	rs9821642	Economic and political preferences (environmentalism)	Intergenic	.09	7E-7
chr3	103359217	103359218	rs10937540	Economic and political preferences (environmentalism)	Intergenic	.09	4E-7
chr3	103363060	103363061	rs10937544	Economic and political preferences (environmentalism)	Intergenic	.09	6E-6
chr3	103380851	103380852	rs6775909	Economic and political preferences (environmentalism)	Intergenic	.09	6E-7
chr3	103397768	103397769	rs12485744	Economic and political preferences (environmentalism)	Intergenic	.09	2E-6
chr3	103400081	103400082	rs7628767	Economic and political preferences (environmentalism)	Intergenic	.09	1E-6
chr3	103403513	103403514	rs10511217	Economic and political preferences (environmentalism)	Intergenic	.09	2E-6
chr3	103438873	103438874	rs4493441	Economic and political preferences (environmentalism)	Intergenic	.09	1E-6
chr3	105010889	105010890	rs9810233	Erectile dysfunction	ALCAM	NR	7E-7
chr3	105586713	105586714	rs9657904	Multiple sclerosis	CBLB	1.40	2E-10
chr3	105869801	105869802	rs2199936	Lipoprotein-associated phospholipase A2 activity change in response to statin therapy	ABCG2	2.80	2E-10
chr3	105869801	105869802	rs2199936	Cardiovascular disease risk factors	ABCG2	.19	2E-17
chr3	105869801	105869802	rs2199936	Urate levels	ABCG2	1.86	3E-23
chr3	105869801	105869802	rs2199936	Urate levels	ABCG2	18.08	1E-75
chr3	106288949	106288950	rs12491921	Cannabis dependence	Intergenic	1.39	1E-6
chr3	107465816	107465817	rs6437740	Smoking behavior	BBX	.10	2E-7
chr3	108243550	108243551	rs2603127	Hemostatic factors and hematological phenotypes	MYH15	2.79	5E-6
chr3	109204412	109204413	rs769554	Cardiac hypertrophy	DPPA4	NR	3E-6
chr3	109927375	109927376	rs13323983	Neutrophil count	AC078918.1, RP11-696F10.1	NR	5E-6
chr3	111201784	111201785	rs76884941	Chronic obstructive pulmonary disease	Intergenic	2.11	1E-7
chr3	111233238	111233239	rs56238310	Chronic obstructive pulmonary disease	CD96	2.11	1E-7
chr3	111423128	111423129	rs4450776	Cognitive performance	PHLDB2,PLCXD2	NR	5E-6
chr3	112376307	112376308	rs12634229	Atopic dermatitis	CCDC80, LOC100630917	1.29	2E-19
chr3	112497879	112497880	rs1002979	Prostate cancer (gene x gene interaction)	CD200R1L	1.59	3E-6
